index,Maximum Installs
1971,1522
1972,2458
1973,14501
1974,208
1975,57
1976,1835
1977,95
1978,590
1979,33
1980,1911
1981,33
1982,210
1983,3484
1984,0
1985,107
1986,3656
1987,9578
1988,9243
1989,52020
1990,12481
1991,174
1992,7772
1993,431
1994,724
1995,2962
1997,769
1998,41
1999,538439
2001,1709
2002,448
2003,6693
2004,840
2005,3282
2006,123
2007,7990
2009,6356
2010,4003
2011,2819424
2012,1716
2013,272
2014,406
2015,264
2016,38071
2017,12061
2018,1056
2019,1842
2020,2287321
2022,281
2023,3
2024,16680
2026,78
2027,4369
2028,1426
2029,8750
2030,11
2031,233
2032,2726
2033,322
2034,626
2035,15
2036,1079
2037,320
2038,300
2039,591
2040,319
2041,2677348
2043,1386
2044,5272
2045,289933
2046,136
2047,6180
2048,477
2049,111419
2050,45
2051,0
2052,642
2053,240
2054,7287
2056,999
2057,62485
2058,145111
2059,26
2060,158
2061,4133
2062,61280
2063,159
2064,182
2065,412
2066,3293
2067,23
2068,73
2069,888
2070,1
2071,26530
2072,2
2073,69
2074,26654
2075,21165
2076,82
2077,6038
2078,19582
2079,287
2080,49
2081,150
2082,11563
2083,129
2084,113
2085,2
2086,19
2087,393
2088,2050
2089,209306
2090,1555
2091,39
2092,14
2093,38862
2094,4240
2095,775
2097,226
2099,1709
2100,410
2101,53
2102,70978
2103,20
2104,5937
2105,34
2106,1279
2107,51
2108,555
2109,3
2110,992
2111,638
2112,785
2113,162
2114,122
2115,3
2116,1398
2117,226
2118,47
2119,11395
2120,150
2121,400
2122,7
2123,2863
2124,652
2125,55
2126,1970
2127,504496
2129,3545
2130,10
2131,12
2132,2603
2133,77
2134,9845
2135,4268
2137,32
2138,318
2139,778
2140,61
2141,70809
2142,23612
2144,452
2145,3
2146,53
2147,4
2148,18
2149,6
2150,10558
2151,175
2152,44
2153,46606
2154,27
2155,72
2156,4894
2157,2131
2158,1078
2159,1101690
2160,92897
2161,2126
2162,57711
2163,5951
2164,87
2165,101266
2166,272029
2167,33
2168,10945
2169,2478
2170,92
2171,25799
2172,13159
2173,1511
2174,5
2175,266
2176,94
2177,26
2178,76
2180,457
2181,160
2182,129
2183,334
2184,21093
2185,511037
2186,15
2187,262
2188,29
2190,5794
2191,23
2192,4928
2193,40
2194,86
2195,50
2196,8656
2197,3
2198,15387
2199,5
2200,3974
2201,6824
2202,5392
2203,86356
2204,58
2205,76
2207,42
2208,7529
2209,349498
2210,95440
2211,4153028
2212,74517
2213,601
2214,323
2215,2785
2216,1721
2217,4306
2218,2140
2219,1629
2220,144
2221,175
2222,6
2223,10945
2224,967
2225,61
2226,2152
2227,469
2228,1352
2229,40078
2230,151
2231,1640
2232,1
2233,6127
2234,8618
2235,20015
2236,1105
2237,59
2238,1958
2239,29712
2240,45
2241,12506
2242,5
2243,2
2244,24
2246,778
2247,2457
2248,1377
2249,119
2250,1892
2251,44
2252,157
2253,9
2254,227
2255,508
2256,498
2257,12
2258,123979
2259,158
2260,11221
2261,13048
2262,912901
2263,15730
2264,66
2265,3097
2267,10469
2268,0
2269,7065
2270,287
2271,65
2272,999
2273,36
2274,504496
2275,92836
2276,2161
2277,106477
2278,682252
2279,3490
2280,15379
2281,39
2282,159
2283,36
2284,7877
2285,526
2286,7263
2287,56
2288,257285
2289,107
2290,3974
2291,17266
2292,57
2293,14
2294,2842
2295,1330
2296,835
2297,34950
2298,365
2299,5568241
2301,4907
2302,8
2303,467
2304,4677
2305,76
2306,8
2308,2120
2309,1242
2311,2656
2312,39
2314,71
2315,4951
2316,19
2317,8
2318,31
2319,5466
2320,78492
2321,3038
2322,1523
2323,167
2324,92
2325,1361
2326,2819424
2327,148266
2328,213
2329,366
2330,107
2331,2760
2332,93
2333,145
2334,91978
2335,43
2336,2114
2337,971618
2338,52
2339,20493
2340,199
2341,2641
2342,2648
2343,0
2344,1996
2345,107
2346,2488
2347,3814
2348,217
2349,710
2350,3062
2351,0
2352,6140
2353,79605
2355,14667
2356,472
2357,11041
2358,1541
2359,39399
2360,190
2361,86
2362,22
2363,501
2364,832
2365,10343
2366,8815
2367,41489
2368,8750
2369,161
2370,1330
2371,168
2372,348
2373,235878
2374,11063
2376,62821
2377,604
2378,18
2379,2177
2380,40
2381,205485
2382,258459
2383,43116
2385,606
2386,245075
2387,491
2388,605
2389,1518
2390,2199
2391,96165
2392,21753
2393,3615
2394,790
2395,66
2396,638
2397,1265
2399,828
2400,2501
2401,4
2403,456
2404,559
2405,467
2406,878
2407,44
2408,599690
2409,4750
2410,65
2411,1645
2412,102
2413,1056
2414,8
2415,7125
2416,47
2417,17
2419,1965
2420,469
2421,1774
2422,6158
2423,7455
2424,14
2425,673
2426,65322
2427,158
2428,189
2430,26661
2431,2095
2433,58
2434,221
2435,14
2436,1202
2437,150
2438,307
2439,183655
2442,0
2443,2673
2444,984
2445,2533
2446,24223
2447,14
2448,1017
2449,832
2450,15131
2451,87
2452,223
2453,2335
2454,1810
2455,194843
2456,1502
2457,6559
2458,11
2459,73689
2460,24001
2461,29
2462,216
2463,4092
2464,1588
2465,63551
2466,73
2467,86
2468,127
2469,171
2470,25
2471,449
2472,15
2473,1553679
2474,832543
2475,426592
2476,7894
2477,2173
2478,5020
2479,14
2480,86005
2481,27
2482,21
2483,154
2484,30618
2485,77
2486,1874
2487,35
2488,217
2489,111419
2490,566
2492,42175
2493,177
2494,62485
2495,17560
2496,559
2497,149
2498,3137
2499,8454
2500,1767
2501,39
2502,2005
2503,63
2504,693
2505,16
2506,263
2507,15
2508,6509
2509,53565
2510,18
2511,3042
2512,1122
2513,48
2514,2
2515,13604
2516,1251
2517,600
2518,2469
2519,190
2520,14
2521,51477
2522,58
2523,166
2524,79
2525,571
2526,68831
2527,8035
2528,155
2529,6
2530,17823
2531,2152
2532,39
2533,2
2534,3613
2535,33
2536,2648
2537,973
2538,11
2539,354
2540,1698
2541,71
2543,836
2544,501
2545,6
2546,44
2547,8656
2548,134
2549,7145
2550,6
2551,779
2552,33
2553,6389
2554,1763
2555,25
2556,315
2559,587
2560,2863
2561,387
2562,181
2563,76895
2564,832543
2565,1268
2566,1958
2567,2902
2568,1259
2569,394951
2570,6674
2571,1
2572,324
2573,8493
2574,4
2575,4159
2576,1025
2577,104
2578,989
2580,492030
2581,1615
2582,3
2583,19277
2584,21898
2585,2792712
2586,3955
2587,2370
2588,95
2589,55
2590,39
2591,6803
2592,285
2594,133
2595,1950
2596,205
2597,146
2598,7646
2599,4409
2601,119
2602,14
2603,2202
2604,499711
2605,39167
2606,947680
2607,2
2608,6359
2610,34
2611,65
2612,10479
2613,34750
2614,6088
2615,2581
2616,5687
2617,4881
2618,2
2619,130
2620,157
2621,17
2622,148
2623,31704
2624,0
2625,8
2626,37
2627,3256
2628,81
2629,15
2630,136474
2632,144
2633,2043
2634,1159
2635,10
2636,269
2637,134
2638,24319
2639,96
2640,8
2641,190
2643,5
2644,115
2645,269
2646,494069
2648,735
2649,1874
2651,386
2652,1664
2653,1890
2654,10670518
2656,8649
2657,279
2658,1763
2659,2202
2661,4177
2662,319
2663,2520474
2664,46
2665,339
2666,300
2667,135
2668,3603
2669,145
2670,106
2671,13873
2672,20
2673,2039
2674,8855
2675,129921
2676,5623
2677,936
2678,4038
2679,145925
2680,1523
2681,46745
2682,586
2683,54
2685,35
2686,7395
2687,268
2688,212748
2689,3530
2690,2458
2691,4708
2692,36
2693,417
2694,20
2695,48
2696,4582
2697,14
2698,238321
2699,2481
2700,31
2701,61280
2702,12799367
2703,74
2704,4660038
2705,2626
2706,398
2707,32
2708,3585
2709,1078
2710,3814
2711,20
2712,120
2713,428
2714,947
2715,210367
2716,93
2717,7076
2719,252
2720,31
2721,14
2722,298
2723,294
2724,34125
2725,97165
2726,406555
2727,276
2728,511
2729,2206
2730,0
2731,4
2732,56
2733,11
2735,1051
2736,11
2737,16
2738,3018
2739,11872
2740,2197
2741,12194
2742,2
2743,629
2744,313
2745,77
2746,5134
2747,12
2748,1992
2749,739
2750,12
2751,3038
2752,100
2753,79605
2754,3653
2755,4015
2756,828
2757,834
2758,2101
2759,91
2760,32422
2761,8176
2762,14
2763,13633
2764,6046
2765,19
2766,307
2767,8
2768,3
2769,54
2770,1
2772,114
2773,89
2774,320
2775,4316
2776,1092
2777,3062
2778,6291803
2779,3
2780,364
2781,4
2782,13075
2783,44
2784,33
2785,2429
2786,13627
2787,163
2788,152
2789,56069
2791,81
2792,0
2793,0
2794,81
2795,397
2796,11374741
2797,273
2798,7334
2799,885
2800,6614
2801,292
2802,82
2803,1
2804,274309
2805,68
2806,4615
2807,7989
2808,7389
2809,55315
2810,7
2811,2970
2812,305
2813,52
2814,469
2815,59559
2816,212
2817,1
2818,100
2819,0
2820,42
2822,1597
2823,2576
2824,1069
2825,3564
2826,19
2827,475
2828,79318
2829,14
2830,2076
2831,26
2832,206
2833,6683
2834,45
2835,554
2836,2980
2837,11063
2838,228
2839,119
2840,287
2841,27
2842,11
2843,9
2844,29
2845,123979
2846,106
2847,2
2848,872
2849,27
2850,1385
2851,1551
2852,0
2853,345
2854,13
2855,7
2856,26
2857,1017
2858,20
2859,412
2860,1874
2861,4487
2862,103
2863,348
2864,452
2865,13
2866,4881
2868,102
2869,3614
2870,563
2871,7002590
2874,70
2875,109
2877,76895
2878,3708
2879,134613
2880,104220
2881,7377
2882,80
2883,501
2884,1127
2886,30
2887,27
2888,1301
2889,65820
2890,315
2891,75
2892,14
2893,170963
2894,1067
2895,50639
2896,2177
2897,88810
2898,29
2900,2942
2901,762
