index,Maximum Installs
2066,11850
2067,452
2068,510
2069,6446
2070,219065
2071,4
2072,776
2073,414
2074,436
2075,17
2076,41977
2077,3762
2078,1046
2079,10
2080,93885
2081,4
2082,95
2083,2195
2084,1846
2085,537
2086,22572
2087,13632
2089,1443
2090,426502
2091,39
2092,10842
2093,133
2094,22
2095,14
2096,44792
2097,6318
2098,464
2099,2666
2101,5
2102,2980
2103,4706
2104,12193
2105,2038
2106,56008
2107,38
2108,1368
2109,1497280
2110,10443
2111,4271
2112,18545
2113,360
2114,12498
2115,2210
2116,44455
2117,5211
2118,6693
2119,143
2120,706
2121,20
2122,374714
2123,6061
2124,539
2125,188475
2126,11927
2127,1100
2128,7746
2129,115
2130,141
2131,166
2132,8808
2133,26
2134,4
2135,38
2136,1638
2137,725
2138,24
2139,0
2140,5354
2141,123
2143,92
2145,1610
2146,44337
2147,9
2148,8405
2149,4425
2150,864283
2151,12513
2152,50
2153,995
2154,199229
2155,1580
2156,17
2157,999
2158,376
2159,35863
2160,6
2161,26871
2162,1144
2163,131202
2164,2328428
2165,74
2166,116
2167,418
2168,4273
2169,28
2170,82834
2171,131
2172,36
2173,10426
2174,4150
2175,138
2176,301
2177,15
2178,551
2179,647
2180,7053
2181,6933
2182,251
2183,144
2184,329
2185,10
2186,609
2187,14531
2188,91
2189,45
2190,228959
2192,563411
2193,58
2194,1
2195,196
2196,1291
2197,118108
2198,1216
2199,1243
2200,4
2201,78
2202,3490
2203,13
2204,121790
2205,4512
2206,4699
2207,261
2208,601
2209,3085
2210,13931
2211,144
2213,1192827
2214,16327388
2215,35
2216,21
2217,65529
2218,481
2219,282
2221,3408
2222,107
2223,31458
2224,126
2225,718
2226,349
2227,25934
2228,34
2229,21622
2230,955
2231,4895
2232,1033
2233,2680
2234,239
2235,635
2236,2206
2237,40
2238,24
2239,198
2240,925
2241,1118
2242,120
2243,2217
2244,1685720
2245,109
2246,121
2247,14
2248,139
2249,19
2251,227
2252,199
2253,233
2254,18331
2255,260
2256,2449
2257,236
2258,4449
2259,66
2260,1043620
2262,90
2263,154
2264,1038
2265,364334
2266,162
2267,26
2268,5
2270,496
2271,430
2272,15
