,Installs
1840,2.0
1841,16.0
1842,11.0
1843,7.0
1844,16.0
1845,13.0
1846,5.0
1847,16.0
1848,7.0
1849,16.0
1850,4.0
1851,5.0
1852,2.0
1853,17.0
1854,7.0
1855,7.0
1856,5.0
1857,7.0
1858,4.0
1859,4.0
1860,2.0
1861,8.0
1862,1.0
1863,8.0
1864,2.0
1865,3.0
1866,11.0
1867,4.0
1868,16.0
1869,16.0
1870,5.0
1871,3.0
1872,13.0
1873,5.0
1874,10.0
1875,7.0
1876,2.0
1877,5.0
1878,16.0
1879,16.0
1880,4.0
1881,11.0
1882,1.0
1883,11.0
1884,8.0
1885,8.0
1886,11.0
1889,8.0
1890,11.0
1891,4.0
1892,7.0
1893,10.0
1894,4.0
1895,3.0
1896,7.0
1898,16.0
1899,14.0
1900,5.0
1902,4.0
1903,13.0
1904,7.0
1906,13.0
1907,8.0
1908,2.0
1909,7.0
1911,7.0
1913,7.0
1914,13.0
1915,5.0
1916,4.0
1917,4.0
1918,14.0
1919,5.0
1920,7.0
1921,5.0
1922,2.0
1923,11.0
1925,8.0
1926,7.0
1927,6.0
1929,1.0
1930,10.0
1931,8.0
1932,1.0
1933,2.0
1934,11.0
1935,4.0
1936,7.0
1937,4.0
1938,4.0
1939,7.0
1940,7.0
1941,14.0
1942,1.0
1943,4.0
1944,14.0
1945,4.0
1946,13.0
1947,8.0
1948,5.0
1949,8.0
1950,17.0
1951,16.0
1952,8.0
1953,13.0
1954,7.0
1955,8.0
1956,13.0
1957,4.0
1958,11.0
1959,2.0
1960,2.0
1961,4.0
1962,7.0
1963,7.0
1964,17.0
1965,4.0
1966,7.0
1967,7.0
1969,16.0
1970,13.0
1971,7.0
1972,16.0
1973,5.0
1974,7.0
1975,11.0
1976,7.0
1977,3.0
1978,7.0
1979,11.0
1981,13.0
1982,7.0
1984,4.0
1985,10.0
1986,7.0
1987,4.0
1988,2.0
1989,11.0
1990,7.0
1991,7.0
1992,2.0
1993,8.0
1994,7.0
1995,11.0
1996,7.0
1997,2.0
1998,16.0
1999,11.0
2000,4.0
2001,4.0
2002,3.0
2003,2.0
2004,5.0
2005,5.0
2006,13.0
2007,2.0
2008,16.0
2009,7.0
2010,7.0
2011,2.0
2012,7.0
2013,2.0
2015,13.0
2016,2.0
2017,16.0
2018,11.0
2019,7.0
2020,4.0
2021,11.0
2022,5.0
2023,1.0
2024,5.0
2025,5.0
2026,13.0
2027,2.0
2028,11.0
2029,2.0
2030,7.0
2031,2.0
2032,5.0
2033,13.0
2035,4.0
2036,11.0
2037,13.0
2038,4.0
2039,16.0
2041,5.0
2042,2.0
2043,7.0
2044,16.0
2045,7.0
2046,10.0
2047,16.0
2048,13.0
2049,7.0
2050,4.0
2051,7.0
2052,5.0
2053,2.0
2054,17.0
2055,13.0
2056,13.0
2057,7.0
2058,7.0
2059,6.0
2060,7.0
2061,11.0
2062,7.0
2063,14.0
2064,14.0
2066,5.0
2067,7.0
2068,16.0
2069,11.0
2070,8.0
2071,1.0
2072,16.0
2073,7.0
2074,7.0
2075,4.0
2076,5.0
2077,2.0
2078,2.0
2079,4.0
2080,14.0
2081,1.0
2082,13.0
2083,2.0
2084,2.0
2085,16.0
2086,5.0
2087,5.0
2089,2.0
2090,8.0
2091,4.0
2092,5.0
2093,7.0
2094,4.0
2095,4.0
2096,5.0
2097,11.0
2098,7.0
2099,2.0
2101,10.0
2102,2.0
2103,2.0
2104,5.0
2105,2.0
2106,14.0
2107,4.0
2108,2.0
2109,3.0
2110,5.0
2111,2.0
2112,5.0
2113,7.0
2114,5.0
2115,2.0
2116,5.0
2117,11.0
2118,11.0
2119,7.0
2120,16.0
2121,4.0
2122,8.0
2123,11.0
2124,16.0
2125,8.0
2126,5.0
2127,2.0
2128,11.0
2129,7.0
2130,7.0
2131,7.0
2132,11.0
2133,4.0
2134,1.0
2135,4.0
2136,2.0
2137,16.0
2138,4.0
2139,0.0
2140,11.0
2141,7.0
2143,13.0
2145,2.0
2146,5.0
2147,10.0
2148,11.0
2149,2.0
2150,17.0
2151,5.0
2152,13.0
2153,16.0
2154,8.0
2155,2.0
2156,4.0
2157,16.0
2158,7.0
2159,5.0
2160,10.0
2161,5.0
2162,2.0
2163,8.0
2164,3.0
2165,13.0
2166,7.0
2167,7.0
2168,2.0
2169,4.0
2170,14.0
2171,7.0
2172,4.0
2173,5.0
2174,2.0
2175,7.0
2176,7.0
2177,4.0
2178,16.0
2179,16.0
2180,11.0
2181,11.0
2182,7.0
2183,7.0
2184,7.0
2185,4.0
2186,16.0
2187,5.0
2188,13.0
2189,4.0
2190,8.0
2192,17.0
2193,13.0
2194,1.0
2195,7.0
2196,2.0
2197,8.0
2198,2.0
2199,2.0
2200,1.0
2201,13.0
2202,2.0
2203,4.0
2204,8.0
2205,2.0
2206,2.0
2207,7.0
2208,16.0
2209,2.0
2210,5.0
2211,7.0
2213,3.0
2214,6.0
2215,4.0
2216,4.0
2217,14.0
2218,7.0
2219,7.0
2221,2.0
2222,7.0
2223,5.0
2224,7.0
2225,16.0
2226,7.0
2227,5.0
2228,4.0
2229,5.0
2230,16.0
2231,2.0
2232,2.0
2233,2.0
2234,7.0
2235,16.0
2236,2.0
2237,4.0
2238,4.0
2239,7.0
2240,16.0
2241,2.0
2242,7.0
